Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Leganes,74,42,20,14,8,56,27,29
2,Valladolid,72,42,21,9,12,51,36,15
3,Eibar,71,42,21,8,13,72,48,24
4,Espanol,69,42,17,18,7,59,40,19
5,Sp Gijon,65,42,18,11,13,51,42,9
6,Oviedo,64,42,17,13,12,55,39,16
7,Santander,64,42,18,10,14,63,55,8
8,Levante,59,42,13,20,9,49,45,4
9,Burgos,59,42,16,11,15,52,54,-2
10,Ferrol,59,42,15,14,13,49,52,-3
11,Elche,59,42,16,11,15,43,46,-3
12,Tenerife,56,42,15,11,16,38,41,-3
13,Zaragoza,51,42,12,15,15,42,42,0
14,Albacete,51,42,12,15,15,50,56,-6
15,Cartagena,51,42,14,9,19,37,51,-14
16,Eldense,50,42,12,14,16,46,56,-10
17,Huesca,49,42,11,16,15,36,33,3
18,Mirandes,49,42,12,13,17,47,55,-8
19,Amorebieta,45,42,11,12,19,37,53,-16
20,Alcorcon,44,42,10,14,18,32,53,-21
21,Andorra,43,42,11,10,21,33,53,-20
22,Villarreal B,43,42,11,10,21,41,62,-21
