Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,PSV Eindhoven,79,34,25,4,5,103,39,64
2,Ajax,78,34,24,6,4,67,32,35
3,Feyenoord,68,34,20,8,6,76,38,38
4,Utrecht,64,34,18,10,6,62,45,17
5,AZ Alkmaar,57,34,16,9,9,58,37,21
6,Twente,54,34,15,9,10,62,49,13
7,Go Ahead Eagles,51,34,14,9,11,57,55,2
8,Nijmegen,43,34,12,7,15,51,46,5
9,Heerenveen,43,34,12,7,15,42,57,-15
10,Zwolle,41,34,10,11,13,43,51,-8
11,For Sittard,41,34,11,8,15,37,54,-17
12,Sparta Rotterdam,39,34,9,12,13,39,43,-4
13,Groningen,39,34,10,9,15,40,53,-13
14,Heracles,38,34,9,11,14,42,63,-21
15,NAC Breda,33,34,8,9,17,34,58,-24
16,Willem II,26,34,6,8,20,34,56,-22
17,Waalwijk,25,34,6,7,21,44,74,-30
18,Almere City,22,34,4,10,20,23,64,-41
