Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Real Madrid,95,38,29,8,1,87,26,61
2,Barcelona,85,38,26,7,5,79,44,35
3,Girona,81,38,25,6,7,85,46,39
4,Ath Madrid,76,38,24,4,10,70,43,27
5,Ath Bilbao,68,38,19,11,8,61,37,24
6,Sociedad,60,38,16,12,10,51,39,12
7,Betis,57,38,14,15,9,48,45,3
8,Villarreal,53,38,14,11,13,65,65,0
9,Valencia,49,38,13,10,15,40,45,-5
10,Alaves,46,38,12,10,16,36,46,-10
11,Osasuna,45,38,12,9,17,45,56,-11
12,Getafe,43,38,10,13,15,42,54,-12
13,Sevilla,41,38,10,11,17,48,54,-6
14,Celta,41,38,10,11,17,46,57,-11
15,Mallorca,40,38,8,16,14,33,44,-11
16,Las Palmas,40,38,10,10,18,33,47,-14
17,Vallecano,38,38,8,14,16,29,48,-19
18,Cadiz,33,38,6,15,17,26,55,-29
19,Almeria,21,38,3,12,23,43,75,-32
20,Granada,21,38,4,9,25,38,79,-41
