Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Leicester,97,46,31,4,11,89,41,48
2,Ipswich,96,46,28,12,6,92,57,35
3,Leeds,90,46,27,9,10,81,43,38
4,Southampton,87,46,26,9,11,87,63,24
5,West Brom,75,46,21,12,13,70,47,23
6,Norwich,73,46,21,10,15,79,64,15
7,Hull,70,46,19,13,14,68,60,8
8,Middlesbrough,69,46,20,9,17,71,62,9
9,Coventry,64,46,17,13,16,70,59,11
10,Preston,63,46,18,9,19,56,67,-11
11,Bristol City,62,46,17,11,18,53,51,2
12,Cardiff,62,46,19,5,22,53,70,-17
13,Millwall,59,46,16,11,19,45,55,-10
14,Swansea,57,46,15,12,19,59,65,-6
15,Watford,56,46,13,17,16,61,61,0
16,Sunderland,56,46,16,8,22,52,54,-2
17,Stoke,56,46,15,11,20,49,60,-11
18,QPR,56,46,15,11,20,47,58,-11
19,Blackburn,53,46,14,11,21,60,74,-14
20,Sheffield Weds,53,46,15,8,23,44,68,-24
21,Plymouth,51,46,13,12,21,59,70,-11
22,Birmingham,50,46,13,11,22,50,65,-15
23,Huddersfield,45,46,9,18,19,48,77,-29
24,Rotherham,27,46,5,12,29,37,89,-52
