Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,St Pauli,69,34,20,9,5,62,36,26
2,Holstein Kiel,68,34,21,5,8,65,39,26
3,Fortuna Dusseldorf,63,34,18,9,7,72,40,32
4,Hamburg,58,34,17,7,10,64,44,20
5,Karlsruhe,55,34,15,10,9,68,48,20
6,Hannover,52,34,13,13,8,59,44,15
7,Paderborn,52,34,15,7,12,54,54,0
8,Greuther Furth,50,34,14,8,12,50,49,1
9,Hertha,48,34,13,9,12,69,59,10
10,Schalke 04,43,34,12,7,15,53,60,-7
11,Elversberg,43,34,12,7,15,49,63,-14
12,Nurnberg,40,34,11,7,16,43,64,-21
13,Kaiserslautern,39,34,11,6,17,59,64,-5
14,Magdeburg,38,34,9,11,14,46,54,-8
15,Braunschweig,38,34,11,5,18,37,53,-16
16,Wehen,32,34,8,8,18,36,50,-14
17,Hansa Rostock,31,34,9,4,21,30,57,-27
18,Osnabruck,28,34,6,10,18,31,69,-38
