Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Fulham,90,46,27,9,10,106,43,63
2,Bournemouth,88,46,25,13,8,74,39,35
3,Huddersfield,82,46,23,13,10,64,47,17
4,Nott'm Forest,80,46,23,11,12,73,40,33
5,Sheffield United,75,46,21,12,13,63,45,18
6,Luton,75,46,21,12,13,63,55,8
7,Middlesbrough,70,46,20,10,16,59,50,9
8,Blackburn,69,46,19,12,15,59,50,9
9,Millwall,69,46,18,15,13,53,45,8
10,West Brom,67,46,18,13,15,52,45,7
11,QPR,66,46,19,9,18,60,59,1
12,Coventry,64,46,17,13,16,60,59,1
13,Preston,64,46,16,16,14,52,56,-4
14,Stoke,62,46,17,11,18,57,52,5
15,Swansea,61,46,16,13,17,58,68,-10
16,Blackpool,60,46,16,12,18,54,58,-4
17,Derby,55,46,14,13,19,45,53,-8
18,Bristol City,55,46,15,10,21,62,77,-15
19,Cardiff,53,46,15,8,23,50,68,-18
20,Hull,51,46,14,9,23,41,54,-13
21,Birmingham,47,46,11,14,21,50,75,-25
22,Reading,47,46,13,8,25,54,87,-33
23,Peterboro,37,46,9,10,27,43,87,-44
24,Barnsley,30,46,6,12,28,33,73,-40
