Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Club Brugge,76,34,24,4,6,73,26,47
2,Antwerp,60,34,18,6,10,57,48,9
3,Anderlecht,58,34,15,13,6,51,34,17
4,Genk,56,34,16,8,10,67,48,19
5,Oostende,53,34,15,8,11,49,41,8
6,Standard,50,34,13,11,10,52,41,11
7,Gent,49,34,14,7,13,55,42,13
8,Mechelen,48,34,13,9,12,54,54,0
9,Beerschot VA,47,34,14,5,15,58,64,-6
10,Waregem,46,34,14,4,16,53,69,-16
11,Oud-Heverlee Leuven,45,34,12,9,13,54,59,-5
12,Eupen,43,34,10,13,11,44,55,-11
13,Charleroi,42,34,11,9,14,46,49,-3
14,Kortrijk,39,34,11,6,17,44,57,-13
15,St Truiden,38,34,10,8,16,41,52,-11
16,Cercle Brugge,36,34,11,3,20,40,51,-11
17,Mouscron,31,34,7,10,17,32,54,-22
18,Waasland-Beveren,31,34,8,7,19,44,70,-26
