Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,St. Gilloise,84,40,25,9,6,80,43,37
2,Anderlecht,77,40,22,11,7,70,42,28
3,Club Brugge,75,40,21,12,7,83,35,48
4,Gent,74,41,21,11,9,81,48,33
5,Mechelen,61,40,18,7,15,59,52,7
6,Genk,60,41,16,12,13,59,49,10
7,Cercle Brugge,60,40,17,9,14,57,47,10
8,Antwerp,58,40,16,10,14,62,45,17
9,St Truiden,53,40,13,14,13,49,61,-12
10,Charleroi,45,36,12,9,15,37,52,-15
11,Oud-Heverlee Leuven,44,40,11,11,18,46,59,-13
12,Standard,39,39,8,15,16,45,63,-18
13,Westerlo,36,39,8,12,19,54,74,-20
14,Kortrijk,31,36,8,7,21,29,67,-38
15,RWD Molenbeek,30,36,7,9,20,39,76,-37
16,Eupen,28,36,8,4,24,29,66,-37
