Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Espanol,82,42,24,10,8,71,28,43
2,Mallorca,82,42,24,10,8,54,28,26
3,Almeria,73,42,21,10,11,61,40,21
4,Leganes,73,42,21,10,11,51,32,19
5,Girona,71,42,20,11,11,47,36,11
6,Vallecano,67,42,19,10,13,52,40,12
7,Sp Gijon,65,42,17,14,11,37,28,9
8,Ponferradina,57,42,15,12,15,45,50,-5
9,Las Palmas,56,42,14,14,14,46,53,-7
10,Fuenlabrada,54,42,12,18,12,45,46,-1
11,Mirandes,54,42,14,12,16,38,41,-3
12,Malaga,53,42,14,11,17,37,47,-10
13,Tenerife,52,42,13,13,16,36,36,0
14,Oviedo,52,42,11,19,12,45,46,-1
15,Alcorcon,49,42,13,10,19,32,39,-7
16,Cartagena,49,42,12,13,17,44,52,-8
17,Zaragoza,48,42,12,12,18,34,43,-9
18,Lugo,47,42,11,14,17,38,53,-15
19,Sabadell,46,42,11,13,18,40,48,-8
20,Logrones,44,42,11,11,20,28,53,-25
21,Castellon,41,42,11,8,23,35,54,-19
22,Albacete,38,42,9,11,22,30,53,-23
