Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Benfica,87,34,28,3,3,82,20,62
2,Porto,85,34,27,4,3,73,22,51
3,Sp Braga,78,34,25,3,6,75,30,45
4,Sp Lisbon,74,34,23,5,6,71,32,39
5,Arouca,54,34,15,9,10,36,37,-1
6,Guimaraes,53,34,16,5,13,34,39,-5
7,Chaves,46,34,12,10,12,35,40,-5
8,Famalicao,44,34,13,5,16,39,47,-8
9,Boavista,44,34,12,8,14,43,54,-11
10,Casa Pia,41,34,11,8,15,31,40,-9
11,Vizela,40,34,11,7,16,34,38,-4
12,Rio Ave,40,34,10,10,14,36,43,-7
13,Gil Vicente,37,34,10,7,17,32,41,-9
14,Estoril,35,34,10,5,19,33,49,-16
15,Portimonense,34,34,10,4,20,25,48,-23
16,Maritimo,26,34,7,5,22,32,63,-31
17,Pacos Ferreira,23,34,6,5,23,26,62,-36
18,Santa Clara,22,34,5,7,22,26,58,-32
