Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Parma,76,38,21,13,4,66,35,31
2,Como,73,38,21,10,7,58,40,18
3,Venezia,70,38,21,7,10,69,46,23
4,Cremonese,67,38,19,10,9,50,32,18
5,Catanzaro,60,38,17,9,12,59,50,9
6,Sampdoria,57,38,16,9,13,53,50,3
7,Palermo,56,38,15,11,12,62,53,9
8,Brescia,51,38,12,15,11,44,40,4
9,Cosenza,47,38,11,14,13,47,42,5
10,Sudtirol,47,38,12,11,15,46,48,-2
11,Modena,47,38,10,17,11,41,47,-6
12,Reggiana,47,38,10,17,11,38,45,-7
13,Pisa,46,38,11,13,14,51,54,-3
14,Cittadella,46,38,11,13,14,40,47,-7
15,Spezia,44,38,9,17,12,36,49,-13
16,Ternana,43,38,11,10,17,43,50,-7
17,Ascoli,41,38,9,14,15,38,42,-4
18,Bari,41,38,8,17,13,38,49,-11
19,FeralpiSalo,33,38,8,9,21,44,65,-21
20,Lecco,26,38,6,8,24,35,74,-39
