Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Almeria,81,42,24,9,9,68,35,33
2,Valladolid,81,42,24,9,9,71,43,28
3,Eibar,80,42,23,11,8,61,45,16
4,Las Palmas,70,42,19,13,10,57,47,10
5,Tenerife,69,42,20,9,13,53,37,16
6,Oviedo,68,42,17,17,8,57,41,16
7,Girona,68,42,20,8,14,57,42,15
8,Ponferradina,63,42,17,12,13,57,55,2
9,Cartagena,60,42,18,6,18,63,57,6
10,Zaragoza,56,42,12,20,10,39,46,-7
11,Burgos,55,42,15,10,17,41,41,0
12,Huesca,54,42,13,15,14,49,44,5
13,Leganes,54,42,13,15,14,50,51,-1
14,Mirandes,52,42,15,7,20,58,62,-4
15,Ibiza,52,42,12,16,14,53,59,-6
16,Lugo,50,42,10,20,12,46,52,-6
17,Sp Gijon,46,42,11,13,18,43,48,-5
18,Malaga,45,42,11,12,19,36,57,-21
19,Amorebieta,43,42,9,16,17,44,63,-19
20,Sociedad B,40,42,10,10,22,43,61,-18
21,Fuenlabrada,33,42,6,15,21,39,65,-26
22,Alcorcon,29,42,6,11,25,37,71,-34
