Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Bayern Munich,71,34,21,8,5,92,38,54
2,Dortmund,71,34,22,5,7,83,44,39
3,RB Leipzig,66,34,20,6,8,64,41,23
4,Union Berlin,62,34,18,8,8,51,38,13
5,Freiburg,59,34,17,8,9,51,44,7
6,Leverkusen,50,34,14,8,12,57,49,8
7,Ein Frankfurt,50,34,13,11,10,58,52,6
8,Wolfsburg,49,34,13,10,11,57,48,9
9,Mainz,46,34,12,10,12,54,55,-1
10,M'gladbach,43,34,11,10,13,52,55,-3
11,FC Koln,42,34,10,12,12,49,54,-5
12,Hoffenheim,36,34,10,6,18,48,57,-9
13,Werder Bremen,36,34,10,6,18,51,64,-13
14,Bochum,35,34,10,5,19,40,72,-32
15,Augsburg,34,34,9,7,18,42,63,-21
16,Stuttgart,33,34,7,12,15,45,57,-12
17,Schalke 04,31,34,7,10,17,35,71,-36
18,Hertha,29,34,7,8,19,42,69,-27
