Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Empoli,73,38,19,16,3,68,35,33
2,Salernitana,69,38,19,12,7,46,34,12
3,Monza,64,38,17,13,8,51,33,18
4,Lecce,62,38,16,14,8,68,47,21
5,Venezia,59,38,15,14,9,53,39,14
6,Cittadella,57,38,15,12,11,48,35,13
7,Chievo,56,38,14,14,10,50,37,13
8,Brescia,56,38,15,11,12,61,53,8
9,Spal,56,38,14,14,10,44,42,2
10,Reggina,50,38,12,14,12,42,45,-3
11,Frosinone,50,38,12,14,12,38,42,-4
12,Cremonese,48,38,12,12,14,46,44,2
13,Pisa,48,38,11,15,12,54,59,-5
14,Vicenza,48,38,11,15,12,48,53,-5
15,Pordenone,45,38,10,15,13,40,39,1
16,Ascoli,44,38,11,11,16,37,48,-11
17,Cosenza,35,38,6,17,15,29,47,-18
18,Reggiana,34,38,9,7,22,31,57,-26
19,Pescara,32,38,7,11,20,29,60,-31
20,Virtus Entella,23,38,4,11,23,30,64,-34
