Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Heidenheim,67,34,19,10,5,67,36,31
2,Darmstadt,67,34,20,7,7,50,33,17
3,Hamburg,66,34,20,6,8,70,45,25
4,Fortuna Dusseldorf,58,34,17,7,10,60,43,17
5,St Pauli,58,34,16,10,8,55,39,16
6,Paderborn,55,34,16,7,11,68,44,24
7,Karlsruhe,46,34,13,7,14,56,53,3
8,Holstein Kiel,46,34,12,10,12,58,61,-3
9,Kaiserslautern,45,34,11,12,11,47,48,-1
10,Hannover,44,34,12,8,14,50,55,-5
11,Magdeburg,43,34,12,7,15,48,55,-7
12,Greuther Furth,41,34,10,11,13,47,50,-3
13,Hansa Rostock,41,34,12,5,17,32,48,-16
14,Nurnberg,39,34,10,9,15,32,49,-17
15,Braunschweig,36,34,9,9,16,42,59,-17
16,Bielefeld,34,34,9,7,18,50,62,-12
17,Regensburg,31,34,8,7,19,34,58,-24
18,Sandhausen,28,34,7,7,20,35,63,-28
