Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Bochum,67,34,21,4,9,66,39,27
2,Greuther Furth,64,34,18,10,6,69,44,25
3,Holstein Kiel,62,34,18,8,8,57,35,22
4,Hamburg,58,34,16,10,8,71,44,27
5,Fortuna Dusseldorf,56,34,16,8,10,55,46,9
6,Karlsruhe,52,34,14,10,10,51,44,7
7,Darmstadt,51,34,15,6,13,63,55,8
8,Heidenheim,51,34,15,6,13,49,49,0
9,Paderborn,47,34,12,11,11,53,45,8
10,St Pauli,47,34,13,8,13,51,56,-5
11,Nurnberg,44,34,11,11,12,46,51,-5
12,Erzgebirge Aue,44,34,12,8,14,44,53,-9
13,Hannover,42,34,12,6,16,53,51,2
14,Regensburg,38,34,9,11,14,37,50,-13
15,Sandhausen,34,34,10,4,20,41,60,-19
16,Osnabruck,33,34,9,6,19,35,58,-23
17,Braunschweig,31,34,7,10,17,30,59,-29
18,Wurzburger Kickers,25,34,6,7,21,37,69,-32
