Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Barcelona,88,38,28,4,6,70,20,50
2,Real Madrid,78,38,24,6,8,75,36,39
3,Ath Madrid,77,38,23,8,7,70,33,37
4,Sociedad,71,38,21,8,9,51,35,16
5,Villarreal,64,38,19,7,12,59,40,19
6,Betis,60,38,17,9,12,46,41,5
7,Osasuna,53,38,15,8,15,37,42,-5
8,Ath Bilbao,51,38,14,9,15,47,43,4
9,Mallorca,50,38,14,8,16,37,43,-6
10,Girona,49,38,13,10,15,58,55,3
11,Sevilla,49,38,13,10,15,47,54,-7
12,Vallecano,49,38,13,10,15,45,53,-8
13,Celta,43,38,11,10,17,43,53,-10
14,Valencia,42,38,11,9,18,42,45,-3
15,Getafe,42,38,10,12,16,34,45,-11
16,Cadiz,42,38,10,12,16,30,53,-23
17,Almeria,41,38,11,8,19,49,65,-16
18,Valladolid,40,38,11,7,20,33,63,-30
19,Espanol,37,38,8,13,17,52,69,-17
20,Elche,25,38,5,10,23,30,67,-37
