Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Levante,76,41,21,13,7,68,42,26
2,Elche,74,41,21,11,9,55,34,21
3,Mirandes,72,41,21,9,11,56,39,17
4,Oviedo,72,41,20,12,9,54,41,13
5,Santander,68,41,19,11,11,63,50,13
6,Almeria,66,41,18,12,11,70,55,15
7,Granada,65,41,18,11,12,64,52,12
8,Huesca,61,41,17,10,14,55,47,8
9,Eibar,58,41,15,13,13,44,40,4
10,Albacete,57,41,15,12,14,56,56,0
11,Cadiz,55,41,14,13,14,54,51,3
12,Cordoba,54,41,14,12,15,58,62,-4
13,Burgos,54,41,15,9,17,39,46,-7
14,La Coruna,53,41,13,14,14,56,50,6
15,Sp Gijon,53,41,13,14,14,55,54,1
16,Malaga,52,41,12,16,13,40,44,-4
17,Zaragoza,51,41,13,12,16,55,59,-4
18,Castellon,50,41,13,11,17,61,62,-1
19,Eldense,45,41,11,12,18,42,60,-18
20,Tenerife,36,41,8,12,21,35,53,-18
21,Ferrol,30,41,6,12,23,22,62,-40
22,Cartagena,23,41,6,5,30,32,75,-43
