Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Ajax,88,34,28,4,2,102,23,79
2,PSV Eindhoven,72,34,21,9,4,74,35,39
3,AZ Alkmaar,71,34,21,8,5,75,41,34
4,Vitesse,61,34,18,7,9,52,38,14
5,Feyenoord,59,34,16,11,7,64,36,28
6,Utrecht,53,34,13,14,7,52,41,11
7,Groningen,50,34,14,8,12,40,37,3
8,Sparta Rotterdam,47,34,13,8,13,49,48,1
9,Heracles,44,34,12,8,14,42,53,-11
10,Twente,41,34,10,11,13,48,50,-2
11,For Sittard,41,34,12,5,17,50,58,-8
12,Heerenveen,39,34,9,12,13,43,49,-6
13,Zwolle,38,34,9,11,14,44,53,-9
14,Willem II,31,34,8,7,19,40,68,-28
15,Waalwijk,30,34,7,9,18,33,55,-22
16,FC Emmen,30,34,7,9,18,40,68,-28
17,VVV Venlo,23,34,6,5,23,43,91,-48
18,Den Haag,22,34,4,10,20,29,76,-47
