Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Norwich,97,46,29,10,7,75,36,39
2,Watford,91,46,27,10,9,63,30,33
3,Brentford,87,46,24,15,7,79,42,37
4,Swansea,80,46,23,11,12,56,39,17
5,Barnsley,78,46,23,9,14,58,50,8
6,Bournemouth,77,46,22,11,13,73,46,27
7,Reading,70,46,19,13,14,62,54,8
8,Cardiff,68,46,18,14,14,66,49,17
9,QPR,68,46,19,11,16,57,55,2
10,Middlesbrough,64,46,18,10,18,55,53,2
11,Millwall,62,46,15,17,14,47,52,-5
12,Luton,62,46,17,11,18,41,52,-11
13,Preston,61,46,18,7,21,49,56,-7
14,Stoke,60,46,15,15,16,50,52,-2
15,Blackburn,57,46,15,12,19,65,54,11
16,Coventry,55,46,14,13,19,49,61,-12
17,Nott'm Forest,52,46,12,16,18,37,45,-8
18,Birmingham,52,46,13,13,20,37,61,-24
19,Bristol City,51,46,15,6,25,46,68,-22
20,Huddersfield,49,46,12,13,21,50,71,-21
21,Sheffield Weds,47,46,12,11,23,40,61,-21
22,Derby,44,46,11,11,24,36,58,-22
23,Wycombe,43,46,11,10,25,39,69,-30
24,Rotherham,42,46,11,9,26,44,60,-16
