Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Porto,91,34,29,4,1,86,22,64
2,Sp Lisbon,85,34,27,4,3,73,23,50
3,Benfica,74,34,23,5,6,78,30,48
4,Sp Braga,65,34,19,8,7,52,31,21
5,Gil Vicente,51,34,13,12,9,47,42,5
6,Guimaraes,48,34,13,9,12,50,41,9
7,Santa Clara,40,34,9,13,12,38,54,-16
8,Famalicao,39,34,9,12,13,45,51,-6
9,Estoril,39,34,9,12,13,36,43,-7
10,Maritimo,38,34,9,11,14,39,44,-5
11,Boavista,38,34,7,17,10,39,52,-13
12,Portimonense,38,34,10,8,16,31,45,-14
13,Pacos Ferreira,38,34,9,11,14,29,44,-15
14,Vizela,33,34,7,12,15,37,58,-21
15,Arouca,31,34,7,10,17,30,54,-24
16,Moreirense,29,34,7,8,19,33,51,-18
17,Tondela,28,34,7,7,20,41,67,-26
18,Belenenses,26,34,5,11,18,23,55,-32
