Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Man City,86,38,27,5,6,83,32,51
2,Man United,74,38,21,11,6,73,44,29
3,Liverpool,69,38,20,9,9,68,42,26
4,Chelsea,67,38,19,10,9,58,36,22
5,Leicester,66,38,20,6,12,68,50,18
6,West Ham,65,38,19,8,11,62,47,15
7,Tottenham,62,38,18,8,12,68,45,23
8,Arsenal,61,38,18,7,13,55,39,16
9,Leeds,59,38,18,5,15,62,54,8
10,Everton,59,38,17,8,13,47,48,-1
11,Aston Villa,55,38,16,7,15,55,46,9
12,Newcastle,45,38,12,9,17,46,62,-16
13,Wolves,45,38,12,9,17,36,52,-16
14,Crystal Palace,44,38,12,8,18,41,66,-25
15,Southampton,43,38,12,7,19,47,68,-21
16,Brighton,41,38,9,14,15,40,46,-6
17,Burnley,39,38,10,9,19,33,55,-22
18,Fulham,28,38,5,13,20,27,53,-26
19,West Brom,26,38,5,11,22,35,76,-41
20,Sheffield United,23,38,7,2,29,20,63,-43
