nome_csv,nome_flashscore
Westerlo,Westerlo
Wigan,Wigan
Willem II,Willem II
Wolfsburg,Wolfsburg
Wrexham,Wrexham
Wycombe,Wycombe
Zaragoza,Saragozza
Zwolle,Zwolle
Alcorcon
Antwerp,Anversa
Augsburg,Augusta
Bordeaux
Carlisle
Cheltenham
Fleetwood Town
Port Vale
