squadra,forma_avanzata_totale,forza_attacco_corner_casa,forza_attacco_corner_trasferta,forza_attacco_falli_casa,forza_attacco_falli_trasferta,forza_attacco_gialli_casa,forza_attacco_gialli_trasferta,forza_attacco_gol_1T_casa,forza_attacco_gol_1T_trasferta,forza_attacco_gol_casa,forza_attacco_gol_trasferta,forza_attacco_rossi_casa,forza_attacco_rossi_trasferta,forza_attacco_tiri_casa,forza_attacco_tiri_porta_casa,forza_attacco_tiri_porta_trasferta,forza_attacco_tiri_trasferta,forza_difesa_corner_casa,forza_difesa_corner_trasferta,forza_difesa_falli_casa,forza_difesa_falli_trasferta,forza_difesa_gialli_casa,forza_difesa_gialli_trasferta,forza_difesa_gol_1T_casa,forza_difesa_gol_1T_trasferta,forza_difesa_gol_casa,forza_difesa_gol_trasferta,forza_difesa_rossi_casa,forza_difesa_rossi_trasferta,forza_difesa_tiri_casa,forza_difesa_tiri_porta_casa,forza_difesa_tiri_porta_trasferta,forza_difesa_tiri_trasferta,media_corner_fatti_casa,media_corner_fatti_trasferta,media_corner_subiti_casa,media_corner_subiti_trasferta,media_falli_fatti_casa,media_falli_fatti_trasferta,media_falli_subiti_casa,media_falli_subiti_trasferta,media_gialli_fatti_casa,media_gialli_fatti_trasferta,media_gialli_subiti_casa,media_gialli_subiti_trasferta,media_gol_1T_fatti_casa,media_gol_1T_fatti_trasferta,media_gol_1T_subiti_casa,media_gol_1T_subiti_trasferta,media_gol_fatti_casa,media_gol_fatti_trasferta,media_gol_subiti_casa,media_gol_subiti_trasferta,media_rossi_fatti_casa,media_rossi_fatti_trasferta,media_rossi_subiti_casa,media_rossi_subiti_trasferta,media_tiri_fatti_casa,media_tiri_fatti_trasferta,media_tiri_porta_fatti_casa,media_tiri_porta_fatti_trasferta,media_tiri_porta_subiti_casa,media_tiri_porta_subiti_trasferta,media_tiri_subiti_casa,media_tiri_subiti_trasferta
Le Havre,0.29,0.716,0.944,0.976,0.833,0.921,0.811,0.691,1.02,0.578,1.122,0.545,1.565,0.779,0.676,0.772,0.869,1.227,1.103,0.994,1.035,1.014,1.052,1.938,0.95,1.84,1.155,1.043,2.182,1.239,1.268,1.032,1.055,3.59,4.12,5.35,5.53,11.76,10.35,12.35,12.47,1.65,1.65,2.06,1.88,0.47,0.59,1.12,0.65,0.88,1.47,2.41,1.76,0.06,0.18,0.12,0.24,10.65,9.94,3.35,3.29,5.41,5.12,14.18,14.41
Lens,0.45,1.326,0.985,1.152,1.217,1.282,1.361,0.691,1.224,0.732,1.032,2.727,1.565,1.205,1.08,0.979,1.09,0.607,0.962,0.857,0.942,0.84,0.953,0.714,0.777,0.988,0.655,0.522,0.545,0.797,0.896,0.949,0.926,6.65,4.29,2.65,4.82,13.88,15.12,10.65,11.35,2.29,2.76,1.71,1.71,0.47,0.71,0.41,0.53,1.12,1.35,1.29,1.0,0.29,0.18,0.06,0.06,16.47,12.47,5.35,4.18,3.82,4.71,9.12,12.65
Montpellier,0.008,1.068,0.917,1.044,1.009,1.414,1.274,0.518,0.204,0.655,0.269,3.273,0.522,0.895,0.902,0.579,0.838,1.079,1.173,1.146,1.064,1.13,1.019,2.142,1.381,1.84,1.463,1.043,0.0,1.285,1.475,1.151,1.197,5.35,4.0,4.71,5.88,12.59,12.53,14.24,12.82,2.53,2.59,2.29,1.82,0.35,0.12,1.24,0.94,1.0,0.35,2.41,2.24,0.35,0.06,0.12,0.0,12.24,9.59,4.47,2.47,6.29,5.71,14.71,16.35
Nantes,0.135,0.962,0.809,1.04,0.919,1.118,1.014,0.691,1.122,0.732,0.898,1.091,1.043,0.891,0.819,0.813,0.714,1.389,1.267,0.919,1.03,0.724,0.921,0.612,1.468,0.808,1.309,2.087,0.545,0.899,0.896,1.02,1.059,4.82,3.53,6.06,6.35,12.53,11.41,11.41,12.41,2.0,2.06,1.47,1.65,0.47,0.65,0.35,1.0,1.12,1.18,1.06,2.0,0.12,0.12,0.24,0.06,12.18,8.18,4.06,3.47,3.82,5.06,10.29,14.47
Angers,0.206,0.763,0.863,0.874,0.919,0.789,0.724,0.691,0.612,0.693,0.628,0.545,0.522,0.641,0.605,0.62,0.812,1.146,0.88,0.99,0.996,1.187,1.249,1.53,0.518,1.481,0.77,2.087,1.636,1.249,1.544,0.973,1.007,3.82,3.76,5.0,4.41,10.53,11.41,12.29,12.0,1.41,1.47,2.41,2.24,0.47,0.35,0.88,0.35,1.06,0.82,1.94,1.18,0.06,0.06,0.24,0.18,8.76,9.29,3.0,2.65,6.59,4.82,14.29,13.76
Reims,0.1,0.716,0.985,0.947,0.933,1.052,0.898,0.863,0.714,0.655,0.718,1.636,1.043,0.887,0.688,0.758,0.976,1.254,1.22,0.89,0.976,0.782,0.658,1.632,0.777,1.122,0.847,1.043,0.545,1.141,1.24,1.127,1.175,3.59,4.29,5.47,6.12,11.41,11.59,11.06,11.76,1.88,1.82,1.59,1.18,0.59,0.41,0.94,0.53,1.0,0.94,1.47,1.29,0.18,0.12,0.12,0.06,12.12,11.18,3.41,3.24,5.29,5.59,13.06,16.06
Auxerre,0.125,0.716,0.971,0.918,1.013,1.052,1.014,0.863,1.53,0.924,1.077,0.545,1.565,0.861,0.89,1.061,0.91,1.403,1.15,0.947,0.913,0.666,0.822,0.612,1.036,0.763,1.309,1.043,1.091,0.997,1.02,1.21,1.115,3.59,4.24,6.12,5.76,11.06,12.59,11.76,11.0,1.88,2.06,1.35,1.47,0.59,0.88,0.35,0.71,1.41,1.41,1.0,2.0,0.06,0.18,0.12,0.12,11.76,10.41,4.41,4.53,4.35,6.0,11.41,15.24
Marseille,0.294,1.056,1.173,1.03,0.833,1.184,0.811,1.295,1.122,1.579,1.481,2.182,1.043,1.089,1.293,1.323,1.146,0.62,0.704,0.919,0.922,0.84,1.052,1.122,0.863,1.032,0.924,0.522,1.091,0.766,0.799,0.926,0.723,5.29,5.12,2.71,3.53,12.41,10.35,11.41,11.12,2.12,1.65,1.71,1.88,0.88,0.65,0.65,0.59,2.41,1.94,1.35,1.41,0.24,0.12,0.06,0.12,14.88,13.12,6.41,5.65,3.41,4.59,8.76,9.88
Monaco,0.276,0.95,1.389,1.093,1.117,0.986,0.782,1.036,1.122,1.463,1.122,0.545,1.565,1.128,1.21,1.199,1.177,0.89,0.61,1.141,1.074,1.13,0.953,0.918,0.863,0.718,0.963,1.565,0.0,0.807,0.965,0.724,0.762,4.76,6.06,3.88,3.06,13.18,13.88,14.18,12.94,1.76,1.59,2.29,1.71,0.71,0.65,0.53,0.59,2.24,1.47,0.94,1.47,0.06,0.18,0.18,0.0,15.41,13.47,6.0,5.12,4.12,3.59,9.24,10.41
Rennes,0.23,1.15,0.958,1.064,1.065,1.019,1.043,1.122,1.02,0.963,1.167,0.545,0.522,1.033,0.937,1.172,0.982,0.755,0.845,0.938,1.02,1.13,0.953,0.714,1.554,0.763,1.271,2.609,0.545,0.827,0.717,1.044,0.913,5.76,4.18,3.29,4.24,12.82,13.24,11.65,12.29,1.82,2.12,2.29,1.71,0.76,0.59,0.41,1.06,1.47,1.53,1.0,1.94,0.06,0.06,0.29,0.06,14.12,11.24,4.65,5.0,3.06,5.18,9.47,12.47
