data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione
2024-08-16,Ajaccio,Rodez,1,0,0,0,8,5,4,0,3,4,2,0,2,0,0,0,2425
2024-08-16,Amiens,Red Star,3,0,1,0,17,13,6,3,6,3,11,13,1,0,0,0,2425
2024-08-16,Clermont,Pau FC,2,2,1,2,13,11,5,4,4,6,14,12,1,3,0,1,2425
2024-08-16,Dunkerque,Annecy,0,2,0,0,12,13,6,4,8,2,15,15,1,2,0,0,2425
2024-08-16,Grenoble,Laval,2,1,0,0,6,9,4,1,4,4,1,0,2,0,0,0,2425
2024-08-16,Guingamp,Troyes,4,0,2,0,16,10,5,3,3,5,9,12,0,4,0,0,2425
2024-08-17,Caen,Paris FC,0,2,0,0,9,13,5,5,9,3,15,13,3,1,0,0,2425
2024-08-19,Martigues,Lorient,0,1,0,0,3,18,1,7,1,11,8,13,0,0,0,0,2425
2024-08-19,Metz,Bastia,1,1,0,1,18,7,5,3,9,1,13,15,1,3,0,0,2425
2024-08-23,Troyes,Clermont,0,1,0,1,16,5,5,1,15,3,5,13,0,1,0,0,2425
2024-08-23,Rodez,Metz,1,3,0,3,16,11,4,4,7,3,14,13,3,4,1,0,2425
2024-08-23,Pau FC,Caen,1,0,1,0,7,22,2,4,0,7,12,20,1,2,2,0,2425
2024-08-23,Bastia,Amiens,1,0,0,0,15,9,4,3,6,4,12,11,2,5,0,1,2425
2024-08-23,Laval,Guingamp,0,1,0,1,16,15,3,4,8,5,23,16,2,2,0,0,2425
2024-08-23,Annecy,Martigues,2,4,1,2,25,10,7,5,19,3,13,13,3,1,0,0,2425
2024-08-23,Paris FC,Dunkerque,3,2,0,1,9,6,4,2,7,1,8,17,1,2,0,0,2425
2024-08-24,Lorient,Grenoble,2,0,0,0,12,13,5,3,9,7,12,10,1,2,0,0,2425
2024-08-26,Red Star,Ajaccio,1,0,1,0,5,19,2,2,2,8,15,15,2,3,0,0,2425
2024-08-30,Guingamp,Red Star,3,4,2,2,21,18,7,7,8,4,12,10,0,1,0,0,2425
2024-08-30,Martigues,Bastia,0,1,0,0,13,9,1,4,8,3,22,16,2,2,0,0,2425
2024-08-30,Grenoble,Pau FC,1,1,0,0,7,12,4,5,5,11,8,11,3,2,0,0,2425
2024-08-30,Caen,Annecy,1,1,0,0,12,8,1,4,6,0,6,20,1,2,0,0,2425
2024-08-30,Clermont,Paris FC,0,1,0,1,6,6,2,3,4,4,12,9,0,1,1,0,2425
2024-08-30,Ajaccio,Troyes,2,1,0,1,23,8,5,4,7,3,16,15,7,0,0,1,2425
2024-08-30,Dunkerque,Rodez,1,0,1,0,13,13,3,1,3,9,9,14,2,2,0,0,2425
2024-08-31,Amiens,Lorient,1,0,1,0,14,19,7,9,9,12,10,13,0,0,0,0,2425
2024-08-31,Metz,Laval,1,1,0,1,20,7,3,4,4,3,10,19,1,1,0,0,2425
2024-09-13,Rodez,Guingamp,1,2,0,1,4,3,2,3,5,5,4,4,2,0,0,0,2425
2024-09-13,Pau FC,Martigues,3,0,1,0,19,8,9,3,5,3,15,17,1,2,0,0,2425
