data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione
2024-09-21,La Coruna,Burgos,0,2,0,0,16,7,3,4,10,5,8,11,1,1,0,0,2425
2024-09-21,Ferrol,Albacete,1,4,0,0,16,22,3,10,6,3,9,12,1,2,0,0,2425
2024-09-21,Eldense,Oviedo,1,1,1,1,16,10,4,5,7,5,12,13,2,3,1,0,2425
2024-09-22,Tenerife,Sp Gijon,1,1,0,1,14,7,3,3,5,7,14,19,2,2,0,0,2425
2024-09-22,Cartagena,Cadiz,1,2,0,1,12,13,4,6,10,9,16,11,4,4,0,0,2425
2024-09-22,Castellon,Santander,0,1,0,0,18,10,10,8,7,3,17,13,1,2,0,0,2425
2024-09-22,Elche,Mirandes,1,0,0,0,19,5,9,3,5,0,15,15,2,3,0,0,2425
2024-09-22,Almeria,Eibar,2,2,0,1,13,8,5,2,9,3,15,18,4,4,0,1,2425
2024-09-23,Huesca,Cordoba,4,1,3,1,9,16,5,4,3,7,9,7,2,2,0,1,2425
2024-09-27,Albacete,La Coruna,2,5,1,2,20,14,7,7,10,3,15,8,3,2,0,0,2425
2024-09-28,Cadiz,Eldense,1,2,0,1,23,15,7,6,2,4,25,18,1,5,0,0,2425
2024-09-28,Mirandes,Huesca,1,0,1,0,16,6,2,1,6,2,19,16,2,6,0,0,2425
2024-09-28,Sp Gijon,Zaragoza,1,0,1,0,22,7,8,2,5,5,9,9,0,5,0,2,2425
2024-09-28,Malaga,Elche,0,3,0,1,5,14,0,8,4,5,19,21,5,4,0,0,2425
2024-09-29,Oviedo,Eibar,1,0,0,0,19,8,5,2,7,4,8,12,1,2,0,1,2425
2024-09-29,Cordoba,Ferrol,3,1,1,0,23,8,5,3,6,4,21,17,3,2,0,0,2425
2024-09-29,Burgos,Granada,2,2,0,0,5,9,2,4,6,3,16,12,4,6,0,0,2425
2024-09-29,Levante,Almeria,4,2,2,2,13,17,8,4,5,3,10,8,1,1,0,0,2425
2024-09-29,Castellon,Tenerife,2,1,1,0,19,16,8,6,9,4,11,15,1,2,0,0,2425
2024-09-30,Santander,Cartagena,1,2,0,1,15,9,3,2,6,1,11,20,0,4,0,0,2425
2024-10-04,Huesca,Cadiz,3,1,1,0,6,12,5,4,2,4,21,13,4,5,1,0,2425
2024-10-05,Ferrol,Elche,1,0,1,0,7,10,1,4,5,5,24,11,4,4,0,0,2425
2024-10-05,Eibar,Sp Gijon,1,3,1,2,15,11,8,5,2,5,9,15,4,4,0,0,2425
2024-10-05,Mirandes,Granada,0,1,0,1,12,5,4,1,8,1,14,15,1,5,0,0,2425
2024-10-05,Almeria,Burgos,2,0,1,0,20,17,6,5,5,8,9,10,3,2,1,0,2425
2024-10-05,Zaragoza,Santander,2,3,0,2,19,14,8,6,11,1,15,11,3,6,0,1,2425
2024-10-05,Tenerife,Cartagena,2,0,1,0,19,4,5,3,3,7,17,14,2,1,0,0,2425
2024-10-06,Albacete,Cordoba,1,1,1,0,19,11,5,3,8,3,9,12,1,2,0,0,2425
2024-10-06,Levante,Oviedo,0,0,0,0,8,12,1,1,1,9,12,21,3,3,0,0,2425
2024-10-06,Eldense,Castellon,2,3,2,3,14,13,6,6,8,1,12,12,2,1,0,0,2425
2024-10-06,La Coruna,Malaga,0,0,0,0,22,13,6,5,5,5,12,5,0,1,0,0,2425
2024-10-11,Tenerife,Zaragoza,2,3,1,0,9,18,2,10,3,7,16,15,4,3,1,0,2425
2024-10-12,Cartagena,Ferrol,0,1,0,0,7,5,1,2,3,1,15,8,3,0,0,0,2425
2024-10-12,Cadiz,Malaga,2,2,2,0,16,13,9,7,6,4,20,11,1,0,0,0,2425
2024-10-12,Eibar,Eldense,1,0,1,0,16,14,7,3,6,6,18,7,1,0,0,0,2425
2024-10-13,Huesca,Albacete,2,2,1,2,9,5,2,2,6,5,14,14,3,5,0,0,2425
2024-10-13,Oviedo,Almeria,3,2,2,1,24,8,10,5,6,0,15,20,2,3,0,2,2425
2024-10-13,Santander,Levante,1,0,0,0,16,6,2,2,7,3,7,16,2,4,0,0,2425
2024-10-13,Burgos,Mirandes,0,1,0,0,9,11,3,3,5,6,15,8,5,4,0,0,2425
2024-10-13,Granada,Cordoba,1,0,0,0,18,8,5,2,5,4,13,15,0,2,0,1,2425
2024-10-13,Elche,La Coruna,0,0,0,0,13,10,1,5,4,3,12,21,2,2,0,0,2425
2024-10-14,Sp Gijon,Castellon,2,1,0,1,19,11,9,1,7,4,11,9,3,2,0,0,2425
2024-10-18,Cordoba,Cartagena,2,1,0,0,21,6,7,3,7,2,14,11,4,3,0,0,2425
2024-10-19,La Coruna,Eldense,1,1,1,1,26,6,7,2,16,4,14,16,3,4,0,0,2425
2024-10-19,Malaga,Oviedo,0,0,0,0,12,20,4,7,6,6,11,23,2,3,0,1,2425
2024-10-19,Castellon,Levante,2,0,0,0,15,12,5,4,4,6,11,13,2,3,0,0,2425
2024-10-19,Granada,Tenerife,4,0,2,0,18,6,12,0,7,1,11,10,3,2,0,0,2425
2024-10-19,Mirandes,Eibar,1,0,1,0,8,7,3,2,4,3,14,17,2,5,0,1,2425
2024-10-20,Cadiz,Santander,0,1,0,0,16,14,4,2,4,9,29,17,6,3,0,0,2425
2024-10-20,Ferrol,Huesca,0,0,0,0,13,10,4,2,8,3,10,12,3,2,1,0,2425
2024-10-20,Elche,Sp Gijon,2,1,0,0,12,9,4,2,4,4,12,28,0,7,0,0,2425
2024-10-20,Zaragoza,Almeria,1,2,1,1,15,13,3,5,8,1,18,15,2,6,0,0,2425
2024-10-21,Albacete,Burgos,2,0,2,0,18,9,10,3,2,7,4,11,0,1,0,0,2425
2024-10-22,Oviedo,Mirandes,4,1,2,0,16,5,8,2,5,3,14,17,1,3,0,0,2425
2024-10-22,Castellon,Granada,2,3,2,1,11,11,4,5,6,1,12,11,2,6,0,1,2425
2024-10-23,Santander,Cordoba,2,0,0,0,20,13,7,4,7,2,12,18,2,5,0,1,2425
2024-10-23,Cartagena,Elche,0,0,0,0,6,16,2,3,3,5,12,19,1,0,0,0,2425
2024-10-23,Eibar,Cadiz,1,0,1,0,11,12,4,4,5,5,24,15,4,6,0,0,2425
2024-10-23,Eldense,Zaragoza,2,3,1,2,21,9,7,4,4,2,14,14,1,3,0,0,2425
2024-10-24,Almeria,Albacete,3,1,1,1,25,15,8,7,2,5,21,10,4,0,0,0,2425
2024-10-24,Levante,La Coruna,2,1,2,0,14,14,6,3,6,5,11,8,2,2,0,0,2425
2024-10-24,Burgos,Ferrol,1,1,1,1,15,11,2,1,2,5,10,11,0,2,0,0,2425
2024-10-24,Sp Gijon,Huesca,2,1,1,0,15,10,5,4,6,2,19,9,0,3,0,0,2425
2024-10-24,Tenerife,Malaga,0,0,0,0,14,5,4,1,5,4,22,14,5,3,0,0,2425
2024-10-26,Cadiz,Oviedo,2,0,1,0,11,4,5,1,3,7,15,18,0,2,0,0,2425
2024-10-26,Mirandes,Cartagena,3,1,2,0,12,11,6,5,4,4,18,8,0,1,0,0,2425
2024-10-26,Cordoba,Eldense,2,0,1,0,18,7,10,3,2,6,18,14,1,2,0,1,2425
2024-10-26,Zaragoza,Castellon,1,2,1,1,10,13,4,4,2,5,21,24,3,4,0,0,2425
2024-10-27,Granada,Levante,1,2,0,2,18,13,5,9,3,7,13,18,1,0,0,0,2425
2024-10-27,Huesca,Almeria,2,2,1,0,9,25,3,5,1,7,15,12,2,2,1,0,2425
2024-10-27,Albacete,Sp Gijon,3,3,1,2,25,11,12,7,12,5,5,8,2,3,0,0,2425
2024-10-27,Elche,Burgos,1,0,1,0,21,6,9,3,12,3,15,11,2,2,0,0,2425
2024-10-27,Malaga,Eibar,1,0,1,0,10,16,5,5,0,6,17,15,1,4,0,0,2425
2024-10-27,La Coruna,Santander,1,2,0,2,16,12,3,7,10,3,13,9,2,0,0,0,2425
2024-10-28,Ferrol,Tenerife,1,1,1,1,8,10,4,5,9,2,8,24,3,2,1,0,2425
2024-11-02,Eibar,Elche,0,2,0,2,12,15,6,3,3,6,20,9,3,0,0,0,2425
2024-11-02,Cartagena,La Coruna,1,5,0,2,17,18,4,13,10,3,14,6,2,1,0,0,2425
2024-11-02,Sp Gijon,Cadiz,2,0,1,0,4,9,2,0,2,5,11,10,3,1,0,0,2425
2024-11-02,Santander,Albacete,1,1,1,0,16,11,8,4,3,6,16,10,0,0,0,0,2425
2024-11-02,Zaragoza,Granada,2,1,1,0,13,16,6,3,1,4,17,14,2,3,0,2,2425
2024-11-03,Oviedo,Burgos,3,1,1,1,19,10,7,3,4,7,5,10,0,1,0,0,2425
2024-11-03,Tenerife,Mirandes,1,0,1,0,8,5,2,1,3,6,9,10,1,3,0,1,2425
2024-11-08,Elche,Almeria,1,2,1,1,21,12,4,7,4,1,24,19,3,7,0,0,2425
2024-11-09,Malaga,Cartagena,1,0,1,0,21,9,6,2,8,2,13,16,3,3,0,0,2425
2024-11-09,Huesca,Zaragoza,1,1,1,0,11,17,4,4,8,3,14,7,3,1,0,0,2425
2024-11-09,Granada,Eldense,3,2,2,0,13,10,4,6,5,5,16,5,4,4,0,0,2425
2024-11-09,Mirandes,Cadiz,2,2,1,1,20,4,3,2,9,2,17,17,1,3,0,0,2425
2024-11-10,Cordoba,Castellon,2,2,0,2,18,10,7,2,8,6,20,22,4,4,0,0,2425
2024-11-10,Burgos,Sp Gijon,0,2,0,1,13,13,5,4,5,4,14,12,1,1,0,0,2425
2024-11-10,Ferrol,Santander,1,2,0,2,12,12,1,4,5,2,18,14,2,3,0,0,2425
2024-11-10,Albacete,Oviedo,2,2,1,1,6,10,3,5,2,2,7,14,2,3,0,0,2425
2024-11-11,La Coruna,Eibar,1,0,0,0,12,15,4,4,7,6,10,18,1,2,0,0,2425
2024-11-16,Eibar,Ferrol,2,0,0,0,16,7,5,2,6,4,15,10,2,1,0,0,2425
2024-11-16,Castellon,Mirandes,1,3,0,3,14,17,6,9,7,7,12,15,2,1,1,0,2425
2024-11-16,Eldense,Albacete,2,0,1,0,9,14,3,1,4,6,15,11,2,1,0,0,2425
2024-11-16,Levante,Elche,1,1,0,1,15,15,2,10,5,5,9,16,3,4,0,0,2425
2024-11-16,Santander,Burgos,2,0,2,0,3,9,3,5,1,7,17,21,1,5,1,0,2425
2024-11-16,Sp Gijon,Granada,1,2,0,0,11,10,5,6,4,0,19,7,0,1,0,0,2425
2024-11-17,Zaragoza,Malaga,0,0,0,0,21,8,8,2,5,5,16,14,4,4,0,1,2425
2024-11-17,Cartagena,Huesca,1,0,1,0,10,16,3,6,4,5,5,12,1,0,0,0,2425
2024-11-17,Cadiz,Cordoba,2,0,2,0,12,20,5,2,5,9,16,17,4,5,0,0,2425
2024-11-17,Oviedo,Tenerife,3,1,2,0,17,13,8,3,4,4,24,12,4,2,0,0,2425
2024-11-17,Almeria,La Coruna,2,1,2,1,16,7,6,5,7,4,11,11,0,1,0,0,2425
2024-11-20,Eldense,Huesca,2,1,1,0,13,14,5,3,4,5,19,18,4,2,0,0,2425
2024-11-22,Ferrol,Levante,0,0,0,0,16,10,3,2,6,4,19,12,2,2,0,0,2425
