data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione_calc
2022-08-05,Lyon,Ajaccio,2,1,2,1,11,8,6,4,4,3,10,18,1,6,1,1,2223
2022-08-06,Strasbourg,Monaco,1,2,0,1,11,24,7,11,3,7,18,15,0,2,0,0,2223
2022-08-06,Clermont,Paris SG,0,5,0,3,7,18,1,12,0,6,13,13,2,1,0,0,2223
2022-08-07,Rennes,Lorient,0,1,0,0,21,8,6,2,7,2,11,5,3,1,0,0,2223
2022-08-07,Montpellier,Troyes,3,2,2,2,17,15,6,10,3,6,13,10,1,0,0,0,2223
2022-08-07,Lille,Auxerre,4,1,3,0,16,10,7,2,7,2,10,9,2,1,0,0,2223
2022-08-07,Marseille,Reims,4,1,2,0,16,16,6,6,6,7,14,10,2,0,0,0,2223
2022-08-07,Angers,Nantes,0,0,0,0,16,14,6,4,3,6,15,13,3,3,0,0,2223
2022-08-07,Toulouse,Nice,1,1,1,0,6,11,4,4,6,3,10,8,1,2,0,0,2223
2022-08-07,Lens,Brest,3,2,1,0,17,6,7,4,6,3,16,14,2,4,0,0,2223
2022-08-12,Nantes,Lille,1,1,1,0,10,16,1,5,5,11,14,10,1,4,0,0,2223
2022-08-13,Monaco,Rennes,1,1,0,0,12,24,4,8,1,6,6,11,0,3,1,0,2223
2022-08-13,Paris SG,Montpellier,5,2,2,0,20,7,10,4,11,0,15,18,2,1,0,0,2223
2022-08-14,Brest,Marseille,1,1,0,1,17,5,5,2,7,5,10,15,1,4,0,0,2223
2022-08-14,Ajaccio,Lens,0,0,0,0,9,12,2,3,1,3,16,18,5,2,0,0,2223
2022-08-14,Auxerre,Angers,2,2,2,1,11,11,4,2,4,5,10,16,5,3,1,0,2223
2022-08-14,Reims,Clermont,2,4,2,0,9,10,6,5,1,6,18,8,3,3,1,0,2223
2022-08-14,Troyes,Toulouse,0,3,0,1,12,10,2,4,6,6,14,19,2,1,0,0,2223
2022-08-14,Nice,Strasbourg,1,1,1,0,13,9,3,5,7,3,7,13,1,4,0,0,2223
2022-08-19,Lyon,Troyes,4,1,1,1,16,4,8,1,4,5,9,7,0,1,0,0,2223
2022-08-20,Marseille,Nantes,2,1,0,0,16,12,5,3,7,4,15,6,5,1,1,0,2223
2022-08-20,Monaco,Lens,1,4,1,2,12,14,5,6,3,5,18,13,4,0,1,0,2223
2022-08-21,Strasbourg,Reims,1,1,1,0,12,12,3,6,5,4,12,16,1,4,0,0,2223
2022-08-21,Angers,Brest,1,3,0,2,7,11,5,7,3,6,9,10,2,0,1,0,2223
2022-08-21,Clermont,Nice,1,0,1,0,7,13,2,4,3,6,4,21,1,2,0,2,2223
2022-08-21,Montpellier,Auxerre,1,2,1,0,13,7,7,2,7,2,10,13,1,3,2,2,2223
2022-08-21,Toulouse,Lorient,2,2,1,1,16,14,8,4,3,6,14,10,2,1,0,0,2223
2022-08-21,Rennes,Ajaccio,2,1,1,0,16,10,7,3,4,8,13,11,5,2,2,0,2223
2022-08-21,Lille,Paris SG,1,7,0,4,16,16,10,9,2,4,13,8,2,1,0,0,2223
2022-08-26,Ajaccio,Lille,1,3,0,2,13,7,2,4,6,0,13,13,3,2,0,0,2223
2022-08-27,Lens,Rennes,2,1,0,0,17,12,4,6,7,2,15,13,0,1,0,0,2223
2022-08-27,Auxerre,Strasbourg,1,0,1,0,7,14,3,4,2,5,4,6,0,1,0,0,2223
2022-08-28,Nantes,Toulouse,3,1,0,1,16,9,8,3,4,5,11,9,0,3,0,0,2223
2022-08-28,Brest,Montpellier,0,7,0,5,6,14,0,8,5,4,15,16,0,2,1,0,2223
2022-08-28,Lorient,Clermont,2,1,2,0,22,9,9,2,3,4,12,9,1,3,0,1,2223
2022-08-28,Nice,Marseille,0,3,0,3,16,13,2,4,7,5,7,15,1,1,0,0,2223
