data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione_calc
2022-07-30,Dijon,St Etienne,2,1,2,0,12,15,5,3,6,9,18,14,5,3,0,1,2223
2022-07-30,Annecy,Niort,1,2,0,2,9,7,2,4,5,1,15,7,2,2,0,0,2223
2022-07-30,Bastia,Laval,0,2,0,1,16,11,4,5,5,3,15,14,2,2,1,1,2223
2022-07-30,Bordeaux,Valenciennes,0,0,0,0,9,5,2,0,4,4,13,17,4,2,0,0,2223
2022-07-30,Guingamp,Pau FC,4,0,3,0,11,10,7,5,2,3,8,18,1,5,0,0,2223
2022-07-30,Le Havre,Grenoble,0,0,0,0,5,7,1,4,2,3,17,14,2,4,0,1,2223
2022-07-30,Metz,Amiens,3,0,2,0,16,18,4,4,6,8,16,11,4,1,1,0,2223
2022-07-30,Nimes,Caen,0,1,0,0,5,19,2,3,3,6,14,16,3,2,0,0,2223
2022-07-30,Quevilly Rouen,Rodez,0,0,0,0,10,8,1,4,4,5,11,12,2,3,0,0,2223
2022-08-01,Sochaux,Paris FC,0,0,0,0,10,2,1,0,5,2,12,11,2,3,0,2,2223
2022-08-06,Valenciennes,Le Havre,1,0,1,0,6,20,3,1,2,9,13,12,2,0,0,0,2223
2022-08-06,Rodez,Bordeaux,0,3,0,2,6,12,1,4,5,3,16,12,4,1,1,0,2223
2022-08-06,Pau FC,Dijon,0,0,0,0,7,14,2,5,4,5,21,12,3,3,0,0,2223
2022-08-06,Paris FC,Quevilly Rouen,2,1,2,0,9,11,4,5,4,6,8,10,2,1,0,0,2223
2022-08-06,Amiens,Annecy,1,0,0,0,6,10,2,4,2,2,16,15,1,5,0,0,2223
2022-08-06,Laval,Guingamp,1,2,1,0,11,10,4,2,7,3,10,14,1,1,0,0,2223
2022-08-06,Grenoble,Sochaux,1,0,1,0,13,15,5,5,4,6,12,19,2,3,0,0,2223
2022-08-06,St Etienne,Nimes,1,1,1,1,13,6,6,1,12,1,15,13,2,0,0,0,2223
2022-08-06,Niort,Bastia,1,4,0,4,18,16,8,9,6,5,13,18,1,2,0,0,2223
2022-08-08,Caen,Metz,1,0,1,0,13,17,3,5,1,4,12,18,1,4,0,0,2223
2022-08-13,Metz,Valenciennes,2,0,1,0,21,9,5,2,7,4,9,10,1,2,0,0,2223
2022-08-13,Sochaux,Amiens,0,1,0,0,15,7,4,4,4,3,12,18,2,8,0,1,2223
2022-08-13,Nimes,Rodez,1,0,0,0,15,14,5,3,3,4,7,15,1,2,0,0,2223
2022-08-13,Le Havre,Pau FC,1,1,1,0,10,6,5,2,8,2,21,18,2,3,0,0,2223
2022-08-13,Annecy,Laval,0,1,0,1,11,5,1,2,6,2,10,17,1,3,0,0,2223
2022-08-13,Bordeaux,Niort,1,0,0,0,15,12,3,4,3,7,12,8,2,0,0,0,2223
2022-08-13,Bastia,Grenoble,3,0,2,0,14,5,7,2,2,3,15,6,3,2,0,0,2223
2022-08-13,Guingamp,Paris FC,0,0,0,0,9,8,2,3,6,1,12,8,3,1,0,1,2223
2022-08-13,Dijon,Caen,2,2,0,0,13,12,4,5,5,3,13,14,3,2,0,0,2223
2022-08-15,Quevilly Rouen,St Etienne,2,2,2,2,9,11,6,6,3,3,23,22,4,3,0,1,2223
2022-08-20,Valenciennes,Quevilly Rouen,0,0,0,0,11,12,3,5,3,6,17,25,1,1,0,0,2223
2022-08-20,Rodez,Annecy,2,2,1,2,17,5,6,2,3,2,14,19,3,3,0,1,2223
2022-08-20,Pau FC,Sochaux,0,3,0,1,15,9,2,5,7,4,17,16,2,2,0,0,2223
2022-08-20,Niort,Paris FC,2,1,0,0,6,18,3,4,1,7,13,14,5,0,0,0,2223
2022-08-20,Laval,Metz,3,3,1,3,19,11,8,6,8,3,15,10,1,4,0,2,2223
2022-08-20,Caen,Guingamp,4,1,2,1,19,13,9,7,6,5,16,14,3,4,0,1,2223
2022-08-20,Amiens,Bastia,3,1,2,1,11,13,4,5,5,4,13,15,3,3,0,0,2223
2022-08-20,St Etienne,Le Havre,0,6,0,0,6,16,1,8,5,8,9,12,4,2,3,0,2223
2022-08-20,Dijon,Nimes,2,1,1,0,11,11,2,6,3,3,5,18,0,2,0,0,2223
2022-08-22,Grenoble,Bordeaux,0,0,0,0,9,12,0,1,5,3,17,10,5,1,1,1,2223
2022-08-27,Quevilly Rouen,Pau FC,2,1,0,0,15,3,6,2,4,2,11,17,1,0,0,0,2223
2022-08-27,Valenciennes,St Etienne,2,2,1,1,13,14,3,7,3,1,10,19,3,5,0,0,2223
2022-08-27,Sochaux,Niort,3,0,1,0,15,9,4,3,3,5,18,14,1,3,0,0,2223
2022-08-27,Nimes,Laval,1,0,0,0,15,6,3,3,2,4,14,19,3,4,0,0,2223
2022-08-27,Paris FC,Caen,1,1,0,1,14,13,8,4,4,6,13,15,3,2,0,0,2223
2022-08-27,Bastia,Rodez,0,2,0,0,19,12,6,6,4,5,10,12,3,4,0,0,2223
2022-08-27,Le Havre,Amiens,1,1,0,1,17,4,5,4,11,1,14,19,1,4,0,0,2223
2022-08-27,Annecy,Grenoble,0,0,0,0,10,4,5,2,4,1,15,19,1,1,0,0,2223
2022-08-27,Metz,Dijon,1,2,0,1,19,7,5,4,6,4,10,10,4,5,0,1,2223
2022-08-27,Bordeaux,Guingamp,0,1,0,1,13,5,3,2,3,1,15,15,5,4,0,0,2223
2022-08-30,St Etienne,Bastia,5,0,4,0,9,7,6,1,8,6,15,10,2,2,0,0,2223
2022-08-30,Rodez,Metz,1,4,0,3,7,13,2,8,2,1,8,16,1,4,0,0,2223
2022-08-30,Niort,Valenciennes,0,1,0,1,8,12,4,7,1,3,9,15,1,0,0,0,2223
2022-08-30,Guingamp,Sochaux,1,2,1,1,15,9,7,5,4,2,13,17,2,4,0,0,2223
2022-08-30,Laval,Le Havre,1,3,1,0,11,17,2,9,4,6,16,19,3,3,0,0,2223
2022-08-30,Dijon,Annecy,0,2,0,1,10,6,3,2,2,2,14,7,3,8,0,2,2223
2022-08-30,Caen,Pau FC,1,1,1,1,18,6,3,2,6,6,11,12,3,3,1,0,2223
2022-08-30,Bordeaux,Quevilly Rouen,4,0,3,0,17,6,6,0,5,2,20,14,0,1,0,1,2223
2022-08-30,Amiens,Paris FC,1,1,0,0,10,8,1,4,3,4,13,8,2,3,0,0,2223
2022-08-30,Grenoble,Nimes,3,2,1,0,10,16,5,4,3,5,12,15,0,2,0,0,2223
2022-09-02,Valenciennes,Nimes,3,2,1,1,11,19,4,9,6,3,11,10,2,2,0,0,2223
2022-09-02,Amiens,Grenoble,1,0,0,0,16,5,8,2,6,4,16,19,3,4,0,0,2223
