data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione_calc
2022-09-16,Mainz,Hertha,1,1,0,1,12,4,2,2,4,3,12,10,3,5,0,0,2223
2022-09-17,M'gladbach,RB Leipzig,3,0,2,0,21,13,10,6,8,3,14,14,2,2,0,0,2223
2022-09-17,Stuttgart,Ein Frankfurt,1,3,0,1,15,13,2,8,7,4,9,11,2,0,0,0,2223
2022-09-17,Leverkusen,Werder Bremen,1,1,0,0,19,19,7,7,9,6,5,14,2,3,0,0,2223
2022-09-17,Augsburg,Bayern Munich,1,0,0,0,9,21,4,7,2,8,16,9,3,1,0,0,2223
2022-09-17,Dortmund,Schalke 04,1,0,0,0,19,3,7,0,11,2,12,14,3,2,0,0,2223
2022-09-18,Union Berlin,Wolfsburg,2,0,0,0,16,5,4,0,4,1,18,6,0,0,0,0,2223
2022-09-18,Bochum,FC Koln,1,1,1,0,7,18,0,3,4,8,12,8,0,1,0,0,2223
2022-09-18,Hoffenheim,Freiburg,0,0,0,0,10,14,3,4,5,3,15,9,1,2,0,0,2223
2022-09-30,Bayern Munich,Leverkusen,4,0,3,0,20,10,10,5,6,2,10,6,0,0,0,0,2223
2022-10-01,Werder Bremen,M'gladbach,5,1,4,0,14,13,9,9,4,5,8,8,0,1,0,0,2223
2022-10-01,Wolfsburg,Stuttgart,3,2,2,2,20,15,7,7,8,5,16,14,3,5,0,0,2223
2022-10-01,RB Leipzig,Bochum,4,0,2,0,17,2,9,1,7,2,8,8,0,2,0,0,2223
2022-10-01,Freiburg,Mainz,2,1,2,0,13,17,6,7,5,5,9,15,2,4,0,0,2223
2022-10-01,Ein Frankfurt,Union Berlin,2,0,2,0,14,14,4,5,4,7,4,11,3,4,1,0,2223
2022-10-01,FC Koln,Dortmund,3,2,0,1,20,21,16,13,7,11,14,10,4,3,0,0,2223
2022-10-02,Hertha,Hoffenheim,1,1,1,1,13,16,5,4,2,6,5,15,2,1,0,0,2223
2022-10-02,Schalke 04,Augsburg,2,3,1,2,16,11,5,5,8,4,11,10,2,6,0,1,2223
2022-10-07,Hoffenheim,Werder Bremen,1,2,1,1,16,8,6,3,3,3,12,18,3,3,0,0,2223
2022-10-08,Dortmund,Bayern Munich,2,2,0,1,13,9,6,3,7,4,8,11,3,6,0,1,2223
2022-10-08,Mainz,RB Leipzig,1,1,1,0,9,12,3,3,4,2,12,12,1,1,0,0,2223
2022-10-08,Bochum,Ein Frankfurt,3,0,0,0,11,11,6,2,9,4,12,10,2,1,0,0,2223
2022-10-08,Leverkusen,Schalke 04,4,0,2,0,13,2,7,1,3,3,9,17,1,1,0,0,2223
2022-10-08,Augsburg,Wolfsburg,1,1,0,1,18,12,5,7,11,5,19,11,5,3,0,0,2223
2022-10-09,M'gladbach,FC Koln,5,2,2,1,13,5,6,3,7,4,8,14,2,3,0,1,2223
2022-10-09,Hertha,Freiburg,2,2,1,1,11,10,3,4,4,2,14,13,2,1,0,0,2223
2022-10-09,Stuttgart,Union Berlin,0,1,0,0,9,7,3,4,2,5,12,10,3,3,1,0,2223
