data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione
2024-10-18,Dortmund,St Pauli,2,1,1,0,20,10,7,3,7,1,8,7,2,1,0,0,2425
2024-10-19,Freiburg,Augsburg,3,1,3,0,15,9,6,3,5,4,11,7,1,1,0,0,2425
2024-10-19,Hoffenheim,Bochum,3,1,1,0,12,13,7,4,4,2,10,12,1,1,0,0,2425
2024-10-19,Leverkusen,Ein Frankfurt,2,1,1,1,27,9,9,2,8,3,9,5,2,1,0,0,2425
2024-10-19,Mainz,RB Leipzig,0,2,0,2,16,11,2,5,5,3,12,15,1,3,0,0,2425
2024-10-19,M'gladbach,Heidenheim,3,2,1,1,20,19,10,6,6,3,15,9,3,3,0,0,2425
2024-10-19,Bayern Munich,Stuttgart,4,0,0,0,22,4,10,1,7,3,6,10,0,2,0,0,2425
2024-10-20,Holstein Kiel,Union Berlin,0,2,0,1,12,14,5,4,7,3,8,11,2,1,0,0,2425
2024-10-20,Wolfsburg,Werder Bremen,2,4,1,1,14,15,6,7,4,4,15,9,1,1,1,0,2425
2024-10-25,Mainz,M'gladbach,1,1,0,0,23,9,6,5,2,4,16,16,3,2,0,0,2425
2024-10-26,Augsburg,Dortmund,2,1,1,1,12,11,4,4,3,5,13,10,3,3,0,1,2425
2024-10-26,RB Leipzig,Freiburg,3,1,0,1,12,15,9,5,3,3,9,7,3,2,0,0,2425
2024-10-26,St Pauli,Wolfsburg,0,0,0,0,14,10,5,4,7,6,9,12,0,3,0,0,2425
2024-10-26,Stuttgart,Holstein Kiel,2,1,1,0,16,9,6,3,9,5,6,17,3,6,1,1,2425
2024-10-26,Werder Bremen,Leverkusen,2,2,0,1,13,15,8,6,3,5,9,11,1,1,0,0,2425
2024-10-27,Bochum,Bayern Munich,0,5,0,2,6,17,2,9,2,5,15,6,1,1,0,0,2425
2024-10-27,Union Berlin,Ein Frankfurt,1,1,0,1,13,17,4,5,4,5,13,7,5,3,0,1,2425
2024-10-27,Heidenheim,Hoffenheim,0,0,0,0,17,12,3,4,7,3,12,16,1,2,0,0,2425
2024-11-01,Leverkusen,Stuttgart,0,0,0,0,19,4,5,1,10,2,13,14,3,4,0,0,2425
2024-11-02,Bayern Munich,Union Berlin,3,0,2,0,16,8,7,1,7,4,2,9,0,2,0,0,2425
2024-11-02,Ein Frankfurt,Bochum,7,2,4,1,18,11,9,8,5,2,6,15,1,2,0,0,2425
2024-11-02,Hoffenheim,St Pauli,0,2,0,1,12,7,6,3,7,2,10,10,0,2,0,0,2425
2024-11-02,Holstein Kiel,Heidenheim,1,0,1,0,11,17,6,4,5,6,16,14,4,5,0,0,2425
2024-11-02,Wolfsburg,Augsburg,1,1,0,1,18,3,6,1,8,1,7,14,1,3,0,0,2425
