data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione_calc
2022-09-17,Oviedo,Ibiza,0,1,0,0,11,8,1,1,9,6,8,16,4,4,0,1,2223
2022-09-17,Andorra,Eibar,2,0,1,0,14,7,10,1,11,1,12,12,2,3,0,0,2223
2022-09-17,Granada,Mirandes,2,1,1,0,13,3,2,1,10,3,12,11,4,2,0,1,2223
2022-09-17,Zaragoza,Sp Gijon,1,0,0,0,10,11,3,1,4,4,8,10,2,4,0,0,2223
2022-09-18,Leganes,Burgos,0,0,0,0,14,8,2,3,4,0,15,21,1,1,0,0,2223
2022-09-18,Alaves,Huesca,2,1,1,0,13,11,5,3,6,4,11,12,1,2,0,0,2223
2022-09-18,Santander,Las Palmas,0,0,0,0,11,25,2,3,5,7,11,10,3,3,1,0,2223
2022-09-18,Albacete,Ponferradina,0,1,0,0,18,5,6,2,5,0,14,14,2,6,1,0,2223
2022-09-19,Tenerife,Malaga,3,1,1,1,20,8,6,3,4,3,15,12,1,5,0,1,2223
2022-09-23,Sp Gijon,Ibiza,2,1,1,1,8,11,4,5,1,4,13,12,2,3,0,0,2223
2022-09-24,Ponferradina,Tenerife,2,2,1,1,14,10,6,4,1,4,21,15,4,1,0,1,2223
2022-09-24,Malaga,Villarreal B,1,1,1,1,15,7,7,2,3,4,16,18,3,3,0,0,2223
2022-09-24,Huesca,Leganes,1,0,1,0,8,17,3,2,3,6,12,7,3,2,0,0,2223
2022-09-24,Mirandes,Zaragoza,2,0,1,0,18,12,7,4,4,5,12,12,3,1,0,0,2223
2022-09-25,Burgos,Levante,0,0,0,0,12,16,2,4,3,9,13,13,1,3,0,0,2223
2022-09-25,Lugo,Oviedo,0,0,0,0,13,12,4,2,3,6,15,11,2,2,0,0,2223
2022-09-25,Albacete,Andorra,1,1,0,0,10,6,4,2,5,4,19,20,1,3,0,1,2223
2022-09-25,Eibar,Santander,2,1,2,0,12,8,5,3,2,3,20,20,1,3,0,0,2223
2022-09-26,Cartagena,Alaves,1,1,1,0,18,6,6,1,9,3,14,11,3,1,0,0,2223
2022-09-26,Las Palmas,Granada,2,0,1,0,14,9,5,1,4,8,11,13,3,3,0,0,2223
2022-09-30,Tenerife,Sp Gijon,1,1,0,1,16,12,5,6,11,6,8,13,2,3,0,0,2223
2022-10-01,Mirandes,Las Palmas,3,3,1,1,13,7,4,4,3,2,22,9,3,4,0,0,2223
2022-10-01,Santander,Malaga,0,0,0,0,14,6,3,4,4,1,14,12,2,2,0,0,2223
2022-10-01,Andorra,Levante,3,1,0,1,11,12,5,3,3,2,5,24,2,4,0,0,2223
2022-10-01,Villarreal B,Burgos,0,0,0,0,10,11,3,1,4,1,14,11,1,1,0,0,2223
2022-10-02,Ibiza,Lugo,3,2,2,1,15,17,4,3,5,7,13,8,3,2,0,0,2223
2022-10-02,Oviedo,Cartagena,1,3,0,2,6,14,3,9,7,7,6,9,2,2,0,0,2223
2022-10-02,Leganes,Albacete,1,2,1,0,10,15,5,5,1,6,23,11,4,0,0,0,2223
2022-10-02,Alaves,Ponferradina,3,1,2,1,16,10,9,3,6,3,16,8,2,3,0,0,2223
2022-10-02,Granada,Huesca,0,0,0,0,10,9,2,1,8,1,13,14,1,5,1,0,2223
2022-10-03,Zaragoza,Eibar,0,0,0,0,10,3,3,1,5,1,14,12,2,8,0,2,2223
2022-10-07,Sp Gijon,Villarreal B,3,1,2,0,11,11,5,1,6,10,11,12,1,1,0,0,2223
2022-10-08,Ponferradina,Granada,0,0,0,0,12,13,0,3,9,2,12,13,0,0,0,0,2223
2022-10-08,Huesca,Lugo,1,1,0,0,13,12,4,3,6,3,7,15,1,4,1,0,2223
2022-10-08,Las Palmas,Ibiza,0,0,0,0,25,3,6,2,14,3,15,18,0,7,0,0,2223
2022-10-08,Burgos,Alaves,3,0,0,0,11,8,5,3,2,6,18,12,3,2,0,0,2223
2022-10-09,Malaga,Andorra,0,0,0,0,10,7,1,2,1,6,16,10,5,1,0,1,2223
2022-10-09,Cartagena,Leganes,1,2,0,0,17,9,7,5,4,2,16,11,3,4,0,0,2223
2022-10-09,Zaragoza,Oviedo,1,1,1,0,10,9,3,2,13,2,15,12,4,2,0,0,2223
2022-10-09,Albacete,Tenerife,1,1,0,0,4,13,2,5,5,13,11,15,1,1,1,0,2223
2022-10-09,Levante,Santander,0,1,0,0,10,18,4,7,5,2,20,11,3,5,0,2,2223
2022-10-10,Eibar,Mirandes,0,0,0,0,15,12,5,4,3,3,9,14,2,1,0,0,2223
2022-10-12,Villarreal B,Ponferradina,2,2,0,1,23,9,10,5,8,3,9,14,3,4,0,0,2223
2022-10-12,Andorra,Burgos,0,1,0,0,20,11,4,2,12,4,8,10,2,1,0,0,2223
2022-10-12,Leganes,Malaga,1,0,0,0,4,12,1,1,2,6,8,10,0,3,0,0,2223
2022-10-12,Alaves,Albacete,0,0,0,0,6,8,2,1,6,1,14,13,4,4,0,0,2223
2022-10-12,Oviedo,Huesca,0,1,0,0,11,6,3,2,8,3,14,21,2,3,0,0,2223
2022-10-12,Tenerife,Cartagena,0,0,0,0,17,8,3,1,8,3,15,18,2,3,0,0,2223
2022-10-12,Lugo,Las Palmas,0,1,0,0,7,15,2,5,2,9,17,7,3,1,0,0,2223
2022-10-12,Santander,Zaragoza,1,0,0,0,23,4,9,0,10,3,9,17,3,6,0,1,2223
2022-10-13,Ibiza,Eibar,1,2,1,0,6,17,2,3,3,2,15,8,3,2,1,0,2223
2022-10-13,Mirandes,Levante,0,1,0,1,24,12,8,5,6,5,14,14,3,2,0,0,2223
2022-10-13,Granada,Sp Gijon,5,0,2,0,13,11,8,3,2,4,7,14,0,2,0,0,2223
2022-10-15,Ponferradina,Las Palmas,0,1,0,1,8,7,1,2,4,4,13,10,4,3,1,0,2223
2022-10-15,Huesca,Santander,0,0,0,0,10,11,2,1,3,7,20,9,1,0,0,0,2223
2022-10-15,Albacete,Oviedo,1,0,0,0,10,10,4,3,3,4,9,14,2,4,0,0,2223
2022-10-15,Andorra,Alaves,0,1,0,0,9,9,2,5,5,5,13,13,1,2,0,0,2223
2022-10-15,Zaragoza,Villarreal B,2,1,1,0,16,8,4,4,8,7,11,6,4,2,0,0,2223
2022-10-16,Levante,Leganes,2,1,0,0,15,10,6,4,2,4,17,17,3,3,0,0,2223
2022-10-16,Burgos,Mirandes,2,1,1,0,7,26,2,8,2,8,9,8,2,0,1,0,2223
2022-10-16,Malaga,Lugo,3,2,1,0,13,16,5,8,6,5,11,10,3,3,0,0,2223
2022-10-16,Cartagena,Ibiza,2,0,0,0,18,15,6,5,5,3,13,11,4,1,0,0,2223
2022-10-16,Tenerife,Granada,2,0,1,0,11,7,4,2,4,0,16,12,3,4,0,0,2223
2022-10-17,Sp Gijon,Eibar,2,0,1,0,9,13,5,1,3,4,13,7,1,1,0,0,2223
2022-10-21,Granada,Zaragoza,1,0,0,0,14,6,6,0,8,5,13,12,5,1,0,0,2223
2022-10-22,Villarreal B,Andorra,1,0,0,0,10,14,4,3,0,3,13,16,1,1,0,0,2223
2022-10-22,Alaves,Sp Gijon,0,0,0,0,12,10,2,0,3,2,10,16,2,3,0,0,2223
2022-10-22,Mirandes,Huesca,1,1,0,0,13,7,7,3,6,5,12,10,4,1,0,0,2223
2022-10-22,Ibiza,Levante,1,2,1,1,8,12,4,6,1,8,15,20,2,4,0,1,2223
2022-10-23,Las Palmas,Cartagena,1,0,0,0,21,0,7,0,9,1,6,12,0,3,0,1,2223
2022-10-23,Leganes,Tenerife,2,1,1,0,8,7,5,2,4,7,10,14,2,2,0,0,2223
2022-10-23,Eibar,Albacete,1,1,1,1,23,4,3,3,7,0,10,13,4,3,0,0,2223
2022-10-23,Lugo,Burgos,2,0,1,0,9,12,3,2,3,5,21,14,4,2,0,1,2223
2022-10-23,Santander,Ponferradina,1,1,1,0,6,12,3,4,7,4,20,19,2,7,0,0,2223
2022-10-24,Oviedo,Malaga,1,0,1,0,6,15,2,2,1,5,13,14,1,2,0,0,2223
2022-10-28,Tenerife,Zaragoza,0,2,0,1,13,6,5,4,3,4,16,15,3,3,0,0,2223
2022-10-29,Andorra,Ponferradina,3,0,2,0,18,10,6,0,7,4,15,18,0,4,0,0,2223
2022-10-29,Huesca,Las Palmas,1,0,1,0,3,17,1,3,4,16,10,8,1,4,1,0,2223
2022-10-29,Alaves,Oviedo,2,1,1,0,10,8,4,1,5,2,12,21,1,4,0,0,2223
2022-10-29,Leganes,Santander,0,0,0,0,13,7,5,1,7,1,20,14,4,2,0,1,2223
2022-10-29,Burgos,Ibiza,2,0,1,0,9,12,2,0,2,7,15,12,5,1,0,0,2223
2022-10-30,Lugo,Mirandes,0,0,0,0,11,12,1,2,6,2,25,10,2,1,0,0,2223
2022-10-30,Malaga,Eibar,0,1,0,1,15,10,5,2,5,2,11,8,1,2,0,0,2223
2022-10-30,Cartagena,Granada,0,0,0,0,9,14,4,0,8,5,14,14,2,0,0,0,2223
2022-10-30,Albacete,Villarreal B,0,0,0,0,15,13,4,4,5,6,15,11,1,2,0,0,2223
2022-10-31,Levante,Sp Gijon,1,0,0,0,9,9,3,1,3,6,7,11,1,2,0,0,2223
2022-11-01,Ponferradina,Huesca,1,0,1,0,10,15,2,3,4,7,15,10,4,2,0,0,2223
